categories_id,parent_id,sort_order,date_added,last_modified,categories_keywords
28,0,0,2009-09-14 20:20:00,2009-10-08 06:53:00,
29,0,0,2009-09-14 20:21:00,2009-10-08 06:52:00,Leather Golf Bags
65,0,30,2014-01-12 16:43:00,,
37,28,10,2009-10-24 12:00:00,2009-10-24 12:00:00,
38,28,10,2009-12-06 19:51:00,2014-12-17 11:36:00,
34,28,3,2009-09-28 19:00:00,2014-12-18 12:12:00,
36,28,1000,2009-10-15 15:42:00,2014-11-25 12:30:00,Italfama Cribbage Game Sets
23,28,5,2009-09-12 11:51:00,2014-12-18 13:33:00,
24,28,0,2009-09-12 11:51:00,2014-12-19 09:30:00,"Duffle Bags,leather Duffle Bags,Duffle Bags leather, I Medici Duffle Bags"
25,28,6,2009-09-12 11:52:00,2014-11-25 12:15:00,"Chess Sets, Chess Pieces"
26,28,7,2009-09-12 11:52:00,2014-11-25 12:15:00,
27,28,1,2009-09-12 11:52:00,2014-11-25 12:10:00,
21,28,6,2009-09-02 03:43:00,2014-11-25 12:13:00,"briefcase,leather briefcases,mens leather briefcase,womens briefcases,computer briefcases"
57,28,11,2009-12-23 11:59:00,,"Handmade Leather, Leather Luggage"
63,28,200,2014-01-11 09:22:00,2014-11-25 12:17:00,Messenger Bags
64,28,300,2014-01-11 12:02:00,2014-11-25 12:18:00,"italian leather laptop cases ,leather,laptop cases,laptop cases,rolling laptop cases,laptop backpacks,laptop sleeves,sleeve,i medici leather cases"
66,28,100,2014-01-12 16:55:00,2014-11-25 12:17:00,
67,28,6500,2014-05-26 08:24:00,2014-11-25 06:32:00,"Anniversary,Leather Gift"
69,28,0,2014-12-02 21:23:00,2014-12-17 20:18:00,"Handmade Leather,Birthday Gift"
70,28,999,2014-12-10 20:43:00,2014-12-14 05:54:00,"I medici Handbags,   Pratesi  ,Talja Handbags ,  Italian leather briefcases"
71,28,5000,2015-01-22 11:13:00,2015-01-22 11:15:00,
30,29,0,2009-09-14 20:22:00,2014-11-26 10:45:00,Mothers day
31,29,0,2009-09-14 20:22:00,2014-11-26 10:46:00,Fathers day
58,29,30,2012-07-12 12:19:00,2014-11-26 09:42:00,Leather Christmas Gifts
59,29,40,2012-07-12 12:25:00,2014-11-26 09:43:00,Valentines Day Gifts
60,29,50,2013-11-30 11:25:00,2014-11-26 09:43:00,
61,29,0,2013-11-30 11:26:00,2014-11-26 09:41:00,
39,36,0,2009-12-07 11:51:00,2014-11-26 10:40:00,
40,36,0,2009-12-07 11:51:00,2014-11-26 10:25:00,
41,36,0,2009-12-07 11:51:00,2014-11-26 10:41:00,
42,36,0,2009-12-07 11:51:00,2014-11-26 10:41:00,
43,36,0,2009-12-07 12:09:00,2010-11-12 09:42:00,Tote Bags
44,36,6,2009-12-07 12:10:00,2014-11-26 10:42:00,"leather Wallets, Wallets for Women"
68,65,0,2014-11-26 09:46:00,,leather bags parts
