categories_id,categories_name
57,Accessories
31,Birthday Gifts
34,Duffle Bag
38,Leather Golf Bags
39,Italfama Chess Pieces
40,Italfama Chess Boards
41,Italfama Chess Tables
42,Italfama Chess Sets
43,Italfama Cribbage Game
44,Backgammon Board Game
23,Leather Backpacks
30,Anniversary
24,Leather Briefcases
37,Master Collection
25,Leather Luggage
29,Occasion
26,Messenger Bags
36,Chess
27,Leather Laptop Cases
21,Leather Handbags
28,italian
58,Mother's Day
59,Father's Day
60,Leather Christmas Gifts
61,Valentine's Day
63,Attorney Briefcases
64,Pilot Cases
65,Profession
66,Women Handbags
67,Limited Edition Chess
68,Lawyers
69,Tote Bags
70,Leather Wallets
71,Leather Bag Parts
